Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,160.529999,161.100006,159.889999,160.059998,4327800,160.059998
2017-04-25,161.779999,162.039993,160.380005,160.389999,4858200,160.389999
2017-04-24,161.289993,161.570007,160.419998,160.75,5175700,160.75
2017-04-21,162.050003,162.110001,160.380005,160.380005,5600600,160.380005
2017-04-20,161.320007,162.399994,160.50,162.300003,6486800,162.300003
2017-04-19,161.759995,162.639999,159.600006,161.690002,19282800,161.690002
2017-04-18,170.789993,171.690002,169.830002,170.050003,6194800,170.050003
2017-04-17,169.75,171.300003,169.619995,171.100006,3676500,171.100006
2017-04-13,169.919998,171.360001,169.529999,169.529999,3203900,169.529999
2017-04-12,171.039993,171.199997,170.020004,170.660004,3276900,170.660004
2017-04-11,170.649994,171.229996,168.979996,170.580002,4890200,170.580002
2017-04-10,172.529999,172.559998,171.00,171.199997,3715300,171.199997
2017-04-07,172.080002,172.929993,171.279999,172.139999,3556000,172.139999
2017-04-06,173.470001,173.470001,172.25,172.449997,3416100,172.449997
2017-04-05,174.699997,176.330002,172.809998,172.880005,6199500,172.880005
2017-04-04,173.520004,174.960007,173.259995,174.520004,3097400,174.520004
2017-04-03,173.820007,174.869995,173.380005,174.50,4271600,174.50
2017-03-31,173.979996,174.949997,173.690002,174.139999,2911200,174.139999
2017-03-30,173.860001,174.589996,173.690002,173.860001,3153000,173.860001
2017-03-29,174.300003,174.490005,173.460007,173.940002,3039600,173.940002
2017-03-28,173.940002,175.00,173.00,174.509995,3506300,174.509995
2017-03-27,172.690002,174.160004,172.089996,173.770004,3217700,173.770004
