Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,147.089996,147.589996,146.089996,146.559998,11378000,146.559998
2017-04-25,145.789993,147.149994,145.789993,146.490005,17706100,146.490005
2017-04-24,144.960007,145.669998,144.339996,145.470001,14387900,145.470001
2017-04-21,143.899994,144.169998,142.270004,143.679993,12152000,143.679993
2017-04-20,142.949997,144.25,142.690002,143.800003,15917800,143.800003
2017-04-19,141.350006,143.039993,141.270004,142.270004,15500400,142.270004
2017-04-18,141.270004,141.910004,140.610001,140.960007,14790800,140.960007
2017-04-17,139.759995,141.550003,139.75,141.419998,11449000,141.419998
2017-04-13,139.619995,140.580002,139.330002,139.389999,10901900,139.389999
2017-04-12,139.720001,140.399994,139.440002,139.580002,11580100,139.580002
2017-04-11,140.800003,141.029999,138.809998,139.919998,15597600,139.919998
2017-04-10,141.00,141.429993,140.630005,141.039993,8844800,141.039993
2017-04-07,141.199997,141.550003,140.240005,140.779999,11804700,140.779999
2017-04-06,142.110001,142.220001,140.910004,141.169998,15036900,141.169998
2017-04-05,142.259995,143.440002,141.289993,141.850006,17107400,141.850006
2017-04-04,141.860001,142.089996,141.270004,141.729996,11914500,141.729996
2017-04-03,141.929993,142.470001,140.820007,142.279999,13548800,142.279999
2017-03-31,142.309998,142.630005,141.889999,142.050003,11320500,142.050003
2017-03-30,142.399994,142.949997,141.850006,142.410004,12391400,142.410004
2017-03-29,141.990005,142.860001,141.429993,142.649994,15708400,142.649994
2017-03-28,140.360001,141.949997,140.009995,141.759995,14633400,141.759995
2017-03-27,139.050003,140.649994,138.770004,140.320007,12787600,140.320007
