Year,Mon,Week,Open,High,Low,Close,Volume
2016,08,2,108.152,108.716,107.712,108.258,24901173
2016,08,3,108.974,109.686,108.602,109.304,26474281
2016,08,4,108.162,108.6,107.41,107.98,24721103
2016,08,5,106.026666667,106.836666667,105.81,106.306666667,26498883
2016,09,1,106.92,107.4,106.22,107.23,26518190
2016,09,2,106.905,107.5125,105.7375,106.1775,42200932
2016,09,3,109.574,111.88,109.18,111.13,78061873
2016,09,4,114.172,114.804,112.75,113.606,40219127
2016,09,5,112.79,113.676,112.184,113.03,31276807
2016,10,2,113.436,113.984,112.848,113.304,25205888
2016,10,3,116.948,117.806,116.104,116.86,41741676
2016,10,4,117.286,117.62,116.128,117.16,23106286
2016,10,5,115.724,116.574,115.034,115.938,42045113
2016,10,6,113.65,114.23,113.2,113.54,26419398
2016,11,1,111.0925,111.9575,109.855,110.4375,32481780
2016,11,2,109.696,110.702,107.918,109.714,41453795
2016,11,3,108.102,109.322,107.066,108.564,39534810
2016,11,4,111.225,111.9475,110.6725,111.6375,23533105
2016,11,5,111.27,112.23,110.576666667,111.183333333,30628330
2016,12,1,109.765,110.515,108.94,109.695,31807429
2016,12,2,110.386,111.742,109.902,111.232,30397932
2016,12,3,114.804,116.07,114.418,115.094,39003140
2016,12,4,116.256,117.062,116.088,116.692,22664578
2016,12,5,116.785,117.5325,116.13,116.6425,21207132
2017,01,2,116.0875,116.965,115.6975,116.6725,25961367
2017,01,3,118.694,119.532,118.372,119.228,27762152
2017,01,4,119.5475,120.32,119.2575,119.9425,29086996
2017,01,5,120.756,121.56,120.55,121.164,24949689
2017,01,6,121.04,121.51,120.64,121.49,39789248
2017,02,1,127.773333333,129.69,127.65,128.786666667,56734250
2017,02,2,131.026,132.038,130.748,131.68,27289830
2017,02,3,134.568,135.382,134.112,134.976,27333499
2017,02,4,136.4875,137.0025,135.9175,136.75,21977214
2017,02,5,137.11,137.44,136.49,136.96,21870143
2017,03,1,138.89,140.086666667,138.316666667,139.51,28065563
2017,03,2,139.072,139.54,138.38,139.136,19934456
2017,03,3,139.856,140.37,139.366,139.866,24307901
2017,03,4,141.022,141.844,140.136,140.856,25934795
2017,03,5,142.378,143.704,141.788,143.278,25401751
2017,04,2,143.84,144.634,143.35,143.898,21083230
2017,04,3,142.5125,142.94,141.255,141.9125,21871413
2017,04,4,141.686,142.304,141.088,141.684,17849700
2017,04,5,143.978,144.382,143.402,143.858,18230756
2017,05,1,146.302,147.78,145.728,147.328,35070353
